TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS,,,,,,
January-December 2018,,,,,,
,,,,,,
,,,,,,
Country,No. of Arrivals,Length of Stay,Per Capita Spending,,Tourism Receipts,
East Asia,26225446.0,6.9,5907.4,182.8,1068971.9,33084.9
Asean,10348768.0,5.7,5452.6,168.8,318816.9,9867.4
Brunei,18460.0,6.7,6864.6,212.5,845.2,26.2
Cambodia,950980.0,6.8,5668.9,175.5,36712.7,1136.3
Indonesia,644479.0,5.7,4736.4,146.6,17368.7,537.6
Laos,1682304.0,5.6,5381.9,166.6,50339.8,1558.0
Malaysia,4042998.0,4.8,5341.6,165.3,104525.8,3235.1
Myanmar,379880.0,6.7,5976.5,185.0,15234.1,471.5
Philippines,407832.0,8.0,5076.3,157.1,16583.0,513.3
Singapore,1168112.0,5.7,6363.4,197.0,42146.1,1304.4
Vietnam,1053723.0,6.5,5087.7,157.5,35061.4,1085.2
China,10625167.0,7.8,6334.2,196.1,522264.8,16164.2
Hong Kong,1047559.0,5.8,6604.4,204.4,40265.4,1246.2
Japan,1642712.0,9.0,5457.7,168.9,80420.4,2489.0
Korea,1785147.0,7.2,5521.0,170.9,71158.5,2202.4
Taiwan,674172.0,8.2,5592.4,173.1,30953.8,958.0
Others in East Asia,101921.0,7.2,6919.9,214.2,5092.1,157.6
Europe,6603695.0,16.9,4179.7,129.4,465086.2,14394.5
Austria,114768.0,16.6,4566.4,141.3,8694.5,269.1
Belgium,116346.0,16.9,3926.4,121.5,7715.6,238.8
Denmark,170044.0,16.7,5360.3,165.9,15221.7,471.1
Finland,135384.0,16.7,4846.0,150.0,10969.5,339.5
France,724350.0,17.4,3540.4,109.6,44595.8,1380.3
Germany,872185.0,17.3,3610.7,111.8,54450.0,1685.2
Italy,263515.0,15.6,4010.9,124.1,16487.9,510.3
Netherlands,226618.0,17.4,4097.4,126.8,16110.3,498.6
Norway,133020.0,16.4,5342.9,165.4,11641.5,360.3
Russia,1466457.0,16.9,4232.9,131.0,105028.3,3250.6
Spain,176597.0,15.4,4049.7,125.3,10999.3,340.4
Sweden,304206.0,19.1,4640.0,143.6,27002.5,835.7
Switzerland,225985.0,16.9,4514.0,139.7,17198.7,532.3
United Kingdom,954404.0,17.7,4286.9,132.7,72458.6,2242.6
East Europe,487669.0,14.2,4467.3,138.3,30935.5,957.5
Others in Europe,232147.0,14.8,4527.5,140.1,15576.6,482.1
The Americas,1534008.0,14.9,4880.2,151.0,111246.2,3443.1
Argentina,43485.0,15.1,4438.9,137.4,2910.8,90.1
Brazil,57105.0,13.8,5204.7,161.1,4104.5,127.0
Canada,252763.0,17.9,4254.4,131.7,19291.7,597.1
USA,1096177.0,14.3,5033.7,155.8,79070.6,2447.3
Others  in America,84478.0,13.1,5311.1,164.4,5868.6,181.6
South Asia,1935883.0,7.7,5848.0,181.0,87058.1,2694.5
Bangladesh,125809.0,8.2,6287.4,194.6,6486.3,200.8
India,1562878.0,7.4,5777.1,178.8,66723.3,2065.1
Nepal,55482.0,10.1,5475.5,169.5,3065.3,94.9
Pakistan,78256.0,10.3,5982.6,185.2,4798.8,148.5
Sri Lanka,62697.0,7.4,6024.3,186.5,2779.9,86.0
Others in South Asia,50761.0,9.4,6751.9,209.0,3204.5,99.2
Oceania,911038.0,13.4,5538.5,171.4,67512.6,2089.5
Australia,802234.0,13.4,5592.8,173.1,60256.3,1864.9
New Zealand,100887.0,13.2,5069.7,156.9,6736.0,208.5
Others  in Ociania,7917.0,11.6,5686.2,176.0,520.4,16.1
Middle East,767796.0,12.9,6243.9,193.3,61795.4,1912.6
Egypt,18161.0,11.3,7072.9,218.9,1448.9,44.8
Israel,185366.0,17.4,5218.1,161.5,16781.9,519.4
Kuwait,77365.0,13.1,7254.9,224.5,7375.2,228.3
Saudi Arabia,35090.0,12.6,7406.6,229.2,3261.7,101.0
U.A.E.,151137.0,10.6,7109.6,220.0,11400.7,352.9
Others in Middle East,300677.0,11.4,6307.9,195.2,21527.0,666.3
Africa,200328.0,12.7,5686.1,176.0,14466.5,447.7
South  Africa,97071.0,13.6,4951.0,153.2,6512.1,201.6
Others in Africa,103257.0,11.9,6473.5,200.4,7954.4,246.2
Grand Total,38178194.0,9.3,5289.7,163.7,1876136.9,58066.8
Note: Exchange rate 1 US$ = 32.31 Baht,,,,,,
