TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS,,,,,,
January-December 2021,,,,,,
,,,,,,
,,,,,,
Country,No. of Arrivals,Length of Stay,Per Capita Spending,,Tourism Receipts,
East Asia,113201,52,2075,65,31314,979
Asean,38649,44,1946,61,7882,246
    Brunei,48,55,1933,60,10,0
    Cambodia,5535,45,2619,82,930,29
    Indonesia,3702,74,2341,73,904,28
    Laos,1016,43,1774,55,205,6
    Malaysia,6988,45,2028,63,977,31
    Myanmar,9110,64,2067,65,1732,54
    Philippines,2859,32,1560,49,1813,57
    Singapore,7268,44,2100,66,738,23
    Vietnam,2123,43,1615,51,571,18
China,26558,48,2270,71,9163,287
Hong Kong,2365,58,1960,61,520,16
Japan,24382,70,1961,61,8881,278
Korea,14800,48,2208,69,3636,114
Taiwan,3819,53,2156,67,1019,32
Others in East Asia,2628,28,2380,74,215,7
Europe,277436,38,2382,74,43570,1362
Austria,6307,38,2780,87,934,29
Belgium,6217,41,2660,83,980,31
Denmark,9279,37,2630,82,1382,43
Finland,6571,39,2040,64,901,28
France,27135,38,2159,68,5897,184
Germany,50589,38,2533,79,5849,183
Italy,6818,40,2206,69,1408,44
Netherlands,9924,41,2383,75,1951,61
Norway,6565,39,2331,73,1046,33
Russia,31565,32,2637,82,5369,168
Spain,4065,40,2261,71,613,19
Sweden,18574,36,2139,67,2039,64
Switzerland,13539,41,2083,65,1839,58
United Kingdom,42853,39,2333,73,8603,269
East Europe,28409,37,2493,78,3321,104
Others in Europe,9026,41,2819,88,1438,45
The Americas,54180,52,2641,83,10748,336
Argentina,344,57,2620,82,60,2
Brazil,1671,48,3228,101,303,9
Canada,7238,51,2359,74,1454,45
USA,43444,52,2665,83,8570,268
Others  in America,1483,49,2961,93,362,11
South Asia,18424,47,2145,67,4561,143
Bangladesh,2202,33,4738,148,558,17
India,10864,45,1914,60,2855,89
Nepal,740,71,2081,65,213,7
Pakistan,1715,64,1973,62,367,11
Sri Lanka,825,49,1909,60,143,4
Others in South Asia,2078,49,2764,86,424,13
Oceania,12433,44,2407,75,2628,82
Australia,10920,44,2418,76,2219,69
New Zealand,1160,47,2343,73,353,11
Others  in Oceania,353,47,2376,74,56,2
Middle East,31324,29,3290,103,4265,133
Egypt,595,43,1617,51,86,3
Israel,14549,27,3140,98,1493,47
Kuwait,3757,30,2739,86,592,19
Saudi Arabia,569,32,2257,71,70,2
U.A.E.,4188,22,3067,96,370,12
Others in Middle East,7666,34,4134,129,1654,52
Africa,3769,50,2061,64,1000,31
South  Africa,1164,42,2014,63,312,10
Others in Africa,2605,54,2083,65,688,22
Grand Total,510767,43,2311,72,98086,3067
Note: 1) Exchange rate 1 US$ = 31.98 Baht,,,,,,
