TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS,,,,,,,,,,,,
January-December 2017,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Unit : Baht/Person/Day,,,,,,
Country,No. of Arrivals,Length of Stay,Per Capita Spending,,Tourism Receipts,,,,,,,
of Residence,,(Days),Baht/Day,$US/Day,Mil. Baht,Mil. $US,,,,,,
East Asia,"24,166,276",6.98        ,"6,072.06",178.91,"1,024,238.69","30,177.92",,,,,,
Asean,"9,644,324",5.64        ,"5,497.75",161.98,"299,045.14","8,810.99",,,,,,
Brunei,"18,249",7.42        ,"6,681.82",196.87,904.77,26.66,,,,,,
Cambodia,"851,879",6.69        ,"5,475.49",161.33,"31,205.17",919.42,,,,,,
Indonesia,"594,060",6.03        ,"5,161.43",152.08,"18,489.23",544.76,,,,,,
Laos,"1,692,866",5.69        ,"5,204.85",153.35,"50,135.28","1,477.17",,,,,,
Malaysia,"3,493,112",4.96        ,"5,506.80",162.25,"95,410.08","2,811.14",,,,,,
Myanmar,"387,722",7.43        ,"5,714.45",168.37,"16,462.05",485.03,,,,,,
Philippines,"361,218",7.33        ,"5,023.72",148.02,"13,301.43",391.91,,,,,,
Singapore,"1,259,523",5.40        ,"6,393.12",188.37,"43,482.36","1,281.15",,,,,,
Vietnam,"985,695",5.78        ,"5,205.05",153.36,"29,654.77",873.74,,,,,,
China,"9,846,818",8.08        ,"6,544.82",192.84,"520,722.39","15,342.44",,,,,,
Hong Kong,"798,460",6.18        ,"6,670.87",196.55,"32,917.30",969.87,,,,,,
Japan,"1,525,707",7.81        ,"5,595.95",164.88,"66,679.99","1,964.64",,,,,,
Korea,"1,698,608",7.60        ,"5,848.98",172.33,"75,506.73","2,224.71",,,,,,
Taiwan,"560,441",7.76        ,"5,733.78",168.94,"24,936.34",734.72,,,,,,
Others in East Asia,"91,918",7.45        ,"6,470.32",190.64,"4,430.80",130.55,,,,,,
Europe,"6,322,166",17.22        ,"4,258.42",125.47,"463,602.99","13,659.49",,,,,,
Austria,"104,220",16.51        ,"4,639.53",136.70,"7,983.12",235.21,,,,,,
Belgium,"112,635",17.04        ,"4,001.01",117.88,"7,679.13",226.26,,,,,,
Denmark,"157,923",16.45        ,"5,271.75",155.33,"13,695.14",403.51,,,,,,
Finland,"138,926",17.14        ,"5,087.44",149.90,"12,114.18",356.93,,,,,,
France,"693,426",17.67        ,"3,714.26",109.44,"45,510.24","1,340.90",,,,,,
Germany,"837,318",17.47        ,"3,638.58",107.21,"53,225.05","1,568.21",,,,,,
Italy,"244,982",15.95        ,"4,056.14",119.51,"15,849.25",466.98,,,,,,
Netherlands,"215,433",17.80        ,"4,112.50",121.17,"15,770.22",464.65,,,,,,
Norway,"130,200",16.11        ,"5,345.79",157.51,"11,212.93",330.38,,,,,,
Russia,"1,340,376",17.35        ,"4,414.33",130.06,"102,657.51","3,024.68",,,,,,
Spain,"178,954",15.75        ,"4,096.93",120.71,"11,547.32",340.23,,,,,,
Sweden,"317,797",19.14        ,"4,544.44",133.90,"27,642.23",814.44,,,,,,
Switzerland,"227,152",17.01        ,"4,581.60",134.99,"17,702.60",521.59,,,,,,
