Sum of มูลค่า,Column Labels,,,,,,,,,,,
Row Labels,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,Grand Total
เชียงใหม่,453498482,206940292,169600559,470639191,447826822,499922733,196085492,226708554,256021207,298452558,295095457,3520791347
เชียงราย,356747631,171670492,207355682,246184747,249960932,192533125,24686349,221176721,118047008,160616391,166279971,2115259049
เพชรบุรี,280955362,254442317,278462639,61287762,337367020,358806739,0,16000,16000,704951,225946143,1798004933
เพชรบูรณ์,278328701,237834915,281354602,108738321,141622994,252620862,106771733,73295085,83768987,38800661,29586161,1632723022
เลย,318184523,14378001,53410898,17263555,17726274,15957378,389130,39523750,25123846,22275077,47354099,571586531
แพร่,79889944,57993840,64364500,60220917,58359601,67401421,184278265,225014248,206954311,235574845,255107125,1495159017
แม่ฮ่องสอน,45420006,40786945,41325020,40375690,44853541,50384331,36202148,64577401,75408657,78495107,98996363,616825209
กระบี่,776705729,563360808,541740532,222652970,442616848,422231367,38930249,19709407,19257667,27999598,34298690,3109503865
กรุงเทพมหานคร,5882071635,6246650925,6280192113,4956932260,4993382206,5887881757,7754649968,4602708182,3296936699,3539540941,3815825610,57256772296
กาญจนบุรี,29365834,32037178,32076062,25675928,23551647,37731929,617955169,300867636,303258594,257502728,291990641,1952013346
กาฬสินธุ์,76190358,164250305,61191468,67383661,70536951,75297911,,,35244170,41477168,105454958,697026950
กำแพงเพชร,241600390,124753962,117737471,109733184,104509749,95277034,19196592,19517267,18636047,28904876,55744931,935611503
ขอนแก่น,296765503,699912146,728547832,616384384,384189167,389334354,286342285,356438697,399509916,492611475,588172455,5238208214
จันทบุรี,655914843,550252920,351633648,256357491,383404515,403342200,84878610,91139191,139281550,41241412,231434269,3188880649
ฉะเชิงเทรา,517793532,510839010,357020471,279509919,292176770,294721736,3647699,3698742,63741358,50678972,17524334,2391352543
ชลบุรี,1728959773,1458917588,1438552262,878137020,1377323791,1314501329,808652835,758180398,803843106,651829628,717288134,11936185864
ชัยนาท,26250,,,,,,,,,,10896199,10922449
ชัยภูมิ,32058445,11888030,36365526,384009,62414964,69585474,585695,17207011,52243359,118020177,167193686,567946376
ชุมพร,195113734,179927937,190362567,161214138,161990419,205937003,7645428,6086515,5771269,27522029,5977556,1147548595
ตรัง,569222989,459142417,445046552,349324429,318373583,295155762,107822249,108641249,110801708,68225825,70584728,2902341491
ตราด,15971912,15698337,17285378,17196900,14471855,17736508,13448533,11744137,8036681,0,409058,131999299
ตาก,174762405,225886708,227946508,267591945,199619304,199038216,160607357,220689277,247482257,294422109,402522017,2620568103
