,สะสมรายงานเบื้องต้นเดือนมกราคม - เดือนธันวาคม ปี 2566(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,อัตราการเข้าพัก,,,จำนวนผู้เข้าพัก (คน),,,จำนวนผู้เยี่ยมเยือนทั้งหมด (คน),,,จำนวนผู้เยี่ยมเยือนคนไทย (คน),,,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),,,รายได้จากผู้เยี่ยมเยือน (ล้านบาท),,,รายได้จากผู้เยี่ยมเยือนคนไทย (ล้านบาท),,,รายได้จากผู้เยี่ยมเยือนชาวต่างชาติ (ล้านบาท),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2566(P),2565 (P),การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,,,,
,กรุงเทพมหานคร,76.73,46.59,+30.14,"31,449,487","17,187,292",+82.98,"56,263,370","38,626,450",+45.66,"30,470,185","28,793,993",+5.82,"25,793,185","9,832,457",+162.33,"750,151","340,970.08",+120.00,"162,728","142,276.82",+14.37,"587,423","198,693.26",+195.64,,,,
,กาญจนบุรี,63.42,58.45,+4.97," 3,377,907 "," 2,804,939 ",+20.43," 14,452,305 "," 11,534,269 ",+25.30," 14,135,084 "," 11,453,168 ",+ 23.42  ," 317,221 "," 81,101 ",+ 291.14  ," 30,402 ","21,479.89",+ 41.54  ," 29,008 ","21,194.10",+36.87," 1,394 ",285.79,+387.65,,,,
,นครปฐม,50.03,44.93,+5.10," 898,613 "," 825,007 ",+8.92," 3,656,542 "," 2,944,053 ",+24.20," 3,609,176 "," 2,930,203 ",+ 23.17  ," 47,366 "," 13,850 ",+ 241.99  ," 5,148 ","3,738.89",+ 37.68  ," 5,018 ","3,704.35",+35.45, 130 ,34.54,+276.98,,,,
,ประจวบคีรีขันธ์,71.21,60.46,+10.75," 5,585,484 "," 4,869,818 ",+14.70," 11,143,079 "," 9,747,884 ",+14.31," 10,656,168 "," 9,597,432 ",+ 11.03  ," 486,911 "," 150,452 ",+ 223.63  ," 44,241 ","32,838.12",+ 34.72  ," 38,890 ","31,356.36",+24.03," 5,351 ","1,481.76",+261.10,,,,
,เพชรบุรี,67.02,61.30,+5.72," 3,892,668 "," 3,526,533 ",+10.38," 10,819,466 "," 8,989,584 ",+20.36," 10,670,442 "," 8,939,653 ",+ 19.36  ," 149,024 "," 49,931 ",+ 198.46  ," 32,334 ","24,394.65",+ 32.55  ," 31,075 ","24,187.21",+28.48," 1,259 ",207.44,+506.92,,,,
,ราชบุรี,54.96,50.64,+4.32," 923,796 "," 807,893 ",+14.35," 2,362,698 "," 1,615,977 ",+46.21," 2,252,679 "," 1,586,202 ",+ 42.02  ," 110,019 "," 29,775 ",+ 269.50  ," 4,086 ","1,907.08",+ 114.26  ," 3,844 ","1,827.79",+110.31, 242 ,79.29,+205.36,,,,
,สมุทรปราการ,50.53,33.72,+16.81," 965,363 "," 638,439 ",+51.21," 3,288,671 "," 2,359,964 ",+39.35," 2,465,890 "," 1,923,247 ",+ 28.21  ," 822,781 "," 436,717 ",+ 88.40  ," 5,174 ","3,412.83",+ 51.59  ," 3,638 ","2,821.32",+28.94," 1,536 ",591.51,+159.63,,,,
