"Applied filters:
province is not (Blank)
INDEX_NAME is รวม
sector is ภาคการค้า or ภาคบริการ
Included (1) All (All) + SME และ Micro (SME)
YearInBE is 2562",,,,,,
,,,,,,
จังหวัด,2016,2017,2018,2019,2020,2021
กรุงเทพมหานคร,"475,640","482,489","487,572","495,807","497,437","504,372"
ชลบุรี,"92,913","94,828","96,710","99,778","99,995","101,957"
เชียงใหม่,"78,259","79,515","81,037","82,386","83,572","85,232"
นครราชสีมา,"66,283","66,976","68,535","69,958","71,985","73,739"
สมุทรปราการ,"65,354","66,820","67,598","68,058","68,768","69,622"
นนทบุรี,"59,430","61,411","62,973","64,204","65,864","68,431"
ปทุมธานี,"58,165","59,621","60,956","62,054","63,716","65,982"
สุราษฎร์ธานี,"57,785","58,605","59,440","60,486","60,897","61,139"
ขอนแก่น,"53,915","54,709","55,405","55,736","56,230","57,044"
สงขลา,"50,186","50,786","51,218","51,536","51,919","52,563"
เชียงราย,"47,140","47,896","48,281","48,641","48,940","49,403"
นครศรีธรรมราช,"44,994","45,295","45,572","45,843","46,195","46,494"
อุบลราชธานี,"41,159","41,452","41,716","42,179","42,333","42,861"
สุรินทร์,"39,466","39,742","39,923","40,046","40,273","40,558"
อุดรธานี,"37,914","38,327","38,720","39,515","39,527","40,353"
ภูเก็ต,"36,300","37,318","38,445","38,936","39,367","39,492"
ศรีสะเกษ,"35,406","35,610","35,781","35,966","36,192","36,369"
ร้อยเอ็ด,"34,738","35,017","35,243","35,412","35,670","35,845"
พระนครศรีอยุธยา,"34,013","34,409","34,627","34,898","35,209","35,777"
ระยอง,"32,995","33,689","34,189","34,727","35,143","35,595"
บุรีรัมย์,"32,938","33,266","33,518","33,697","33,995","34,284"
นครปฐม,"31,765","32,332","32,664","33,071","33,784","34,196"
มหาสารคาม,"29,889","30,082","30,318","30,398","30,530","30,766"
นครสวรรค์,"29,402","29,690","29,890","30,086","30,251","30,611"
ตรัง,"27,552","27,681","27,936","28,498","29,093","29,547"
ราชบุรี,"26,958","27,464","27,842","27,987","28,092","28,179"
สมุทรสาคร,"26,821","27,267","27,443","27,721","27,899","28,073"
กาฬสินธุ์,"26,723","26,879","27,004","27,096","27,254","27,436"
กาญจนบุรี,"25,596","25,883","26,021","26,153","26,355","26,566"
พิษณุโลก,"25,487","25,710","25,877","26,037","26,203","26,439"
ประจวบคีรีขันธ์,"25,466","25,655","25,857","25,944","26,142","26,397"
ชัยภูมิ,"24,562","24,829","25,020","25,192","25,356","25,588"
เพชรบูรณ์,"24,428","24,631","24,816","24,947","25,077","25,232"
ลำปาง,"24,408","24,611","24,756","24,914","24,980","25,176"
แพร่,"23,319","23,450","23,522","23,559","23,605","23,799"
พัทลุง,"22,217","22,327","22,481","22,542","22,649","22,836"
สุพรรณบุรี,"21,923","22,097","22,267","22,485","22,637","22,713"
ลพบุรี,"21,677","21,822","21,935","22,064","22,170","22,355"
สกลนคร,"21,038","21,367","21,624","21,760","21,978","22,210"
กระบี่,"20,438","20,754","21,010","21,235","21,443","21,734"
สระบุรี,"20,433","20,700","20,947","21,139","21,355","21,725"
ฉะเชิงเทรา,"20,315","20,598","20,842","21,128","21,234","21,309"
นราธิวาส,"19,770","19,824","19,895","19,944","19,988","20,182"
สระแก้ว,"19,528","19,648","19,766","19,908","19,962","20,048"
ชุมพร,"18,367","18,461","18,554","18,702","18,807","18,894"
เพชรบุรี,"17,681","17,800","17,950","18,055","18,145","18,290"
น่าน,"17,196","17,381","17,483","17,623","17,739","17,920"
กำแพงเพชร,"17,187","17,360","17,470","17,518","17,647","17,856"
ปราจีนบุรี,"17,106","17,202","17,429","17,474","17,575","17,725"
ลำพูน,"16,535","16,800","16,906","17,011","17,045","17,213"
พิจิตร,"16,490","16,605","16,654","16,747","16,804","16,937"
พะเยา,"16,150","16,334","16,420","16,482","16,602","16,789"
จันทบุรี,"15,539","15,718","15,883","16,026","16,159","16,413"
ตาก,"15,374","15,506","15,646","15,735","15,824","15,945"
สุโขทัย,"15,157","15,237","15,288","15,364","15,405","15,539"
นครพนม,"14,356","14,456","14,599","14,671","14,743","14,907"
ปัตตานี,"14,164","14,202","14,246","14,290","14,355","14,502"
เลย,"13,774","13,922","14,022","13,993","14,051","14,197"
ยโสธร,"13,302","13,481","13,538","13,583","13,667","13,774"
ยะลา,"11,775","11,828","11,864","11,896","11,941","12,012"
ชัยนาท,"11,433","11,537","11,589","11,689","11,749","11,851"
หนองคาย,"11,330","11,484","11,589","11,620","11,668","11,733"
อุตรดิตถ์,"11,189","11,285","11,315","11,328","11,381","11,483"
สตูล,"11,011","11,100","11,114","11,164","11,192","11,222"
พังงา,"10,702","10,857","10,941","11,002","11,049","11,080"
มุกดาหาร,"10,144","10,237","10,319","10,420","10,477","10,598"
หนองบัวลำภู,"9,996","10,108","10,206","10,275","10,359","10,452"
อุทัยธานี,"9,185","9,274","9,320","9,368","9,415","9,487"
อำนาจเจริญ,"8,467","8,602","8,711","8,740","8,795","8,726"
อ่างทอง,"8,268","8,343","8,440","8,464","8,482","8,561"
ระนอง,"8,196","8,272","8,314","8,341","8,403","8,419"
ตราด,"8,020","8,099","8,164","8,235","8,261","8,365"
สิงห์บุรี,"8,007","8,098","8,163","8,199","8,257","8,267"
บึงกาฬ,"7,991","8,063","8,096","8,150","8,184","8,254"
นครนายก,"7,136","7,227","7,274","7,363","7,435","7,528"
แม่ฮ่องสอน,"5,918","5,985","6,030","6,056","6,091","6,117"
สมุทรสงคราม,"5,441","5,515","5,576","5,628","5,717","5,772"
